

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.013  000.013: --- NVIM STARTING ---
000.054  000.041: event init
000.146  000.092: early init
021.227  021.081: locale set
021.284  000.057: init first window
021.799  000.515: inits 1
021.850  000.051: window checked
021.860  000.009: parsing arguments
022.766  000.230  000.230: require('vim.shared')
023.276  000.200  000.200: require('vim._meta')
023.281  000.508  000.308: require('vim._editor')
023.285  000.833  000.096: require('vim._init_packages')
023.302  000.608: init lua interpreter
023.556  000.255: expanding arguments
023.601  000.044: inits 2
024.217  000.616: init highlight
024.220  000.003: waiting for UI
024.353  000.133: done waiting for UI
024.360  000.007: clear screen
024.556  000.196: init default mappings & autocommands
030.852  000.098  000.098: sourcing C:\Users\Tapio\scoop\apps\neovim-nightly\current\share\nvim\runtime\ftplugin.vim
031.995  000.090  000.090: sourcing C:\Users\Tapio\scoop\apps\neovim-nightly\current\share\nvim\runtime\indent.vim
032.657  000.133  000.133: require('disabled-plugins')
038.149  001.072  001.072: require('notify.util.queue')
038.156  002.202  001.130: require('notify.util')
039.311  001.151  001.151: require('notify.config.highlights')
039.319  004.516  001.163: require('notify.config')
040.388  001.066  001.066: require('notify.stages')
041.503  001.109  001.109: require('notify.service.notification')
045.260  001.493  001.493: require('notify.animate.spring')
045.267  002.562  001.069: require('notify.animate')
045.273  003.763  001.201: require('notify.windows')
048.725  001.197  001.197: require('notify.service.buffer.highlights')
048.734  002.354  001.157: require('notify.service.buffer')
048.738  003.462  001.108: require('notify.service')
049.882  001.141  001.141: require('notify.stages.util')
049.890  017.008  001.951: require('notify')
050.999  001.081  001.081: require('notify.stages.fade_in_slide_out')
051.354  018.691  000.602: require('settings')
052.726  000.640  000.640: require('dashboard.utils')
052.736  001.240  000.600: require('dashboard')
052.743  001.384  000.144: require('dashboard-config')
055.789  001.181  001.181: require('packer.util')
055.817  002.811  001.630: require('packer')
059.608  001.265  001.265: require('packer.log')
059.615  002.393  001.127: require('packer.async')
062.182  001.324  001.324: require('packer.result')
062.189  002.570  001.246: require('packer.jobs')
062.196  006.221  001.258: require('packer.plugin_utils')
063.456  001.191  001.191: require('packer.snapshot')
064.091  011.344  001.122: require('plugins')
065.894  000.018  000.018: require('vim.F')
065.905  001.709  001.691: require('nvim-web-devicons')
066.972  002.874  001.166: require('web-dev-icons')
069.659  000.901  000.901: require('mason-core.path')
069.675  001.776  000.875: require('mason.settings')
071.666  000.986  000.986: require('mason-core.functional')
073.442  000.837  000.837: require('mason-core.functional.data')
073.451  001.738  000.901: require('mason-core.functional.function')
074.338  000.848  000.848: require('mason-core.functional.relation')
075.190  000.843  000.843: require('mason-core.functional.logic')
075.204  005.525  001.109: require('mason-core.platform')
075.208  008.122  000.821: require('mason')
077.204  000.958  000.958: require('mason-core.functional.list')
078.093  000.880  000.880: require('mason-core.functional.string')
078.129  002.895  001.057: require('mason.api.command')
079.896  000.933  000.933: require('mason-core.log')
079.903  001.762  000.830: require('mason-lspconfig')
080.714  000.808  000.808: require('mason-lspconfig.settings')
081.635  000.869  000.869: require('mason-lspconfig.lspconfig_hook')
088.655  001.438  001.438: require('vim.lsp.log')
090.568  001.906  001.906: require('vim.lsp.protocol')
094.389  001.543  001.543: require('vim.lsp._snippet')
095.767  001.370  001.370: require('vim.highlight')
095.787  005.212  002.299: require('vim.lsp.util')
095.801  010.322  001.766: require('vim.lsp.handlers')
097.527  001.647  001.647: require('vim.lsp.rpc')
099.103  001.569  001.569: require('vim.lsp.sync')
100.769  001.660  001.660: require('vim.lsp.semantic_tokens')
102.365  001.588  001.588: require('vim.lsp.buf')
103.891  001.520  001.520: require('vim.lsp.diagnostic')
105.317  001.419  001.419: require('vim.lsp.codelens')
105.385  022.267  002.541: require('vim.lsp')
105.504  023.863  001.596: require('lspconfig.util')
107.390  000.982  000.982: require('mason-core.functional.table')
107.440  001.930  000.949: require('mason-lspconfig.mappings.server')
110.178  000.936  000.936: require('mason-core.async')
111.019  000.834  000.834: require('mason-core.async.uv')
111.028  002.677  000.907: require('mason-core.fs')
111.882  000.850  000.850: require('mason-core.optional')
112.743  000.854  000.854: require('mason-core.EventEmitter')
113.695  000.947  000.947: require('mason-registry.index')
113.707  006.262  000.934: require('mason-registry')
114.527  000.816  000.816: require('mason-lspconfig.server_config_extensions')
115.673  001.139  001.139: require('lspconfig.configs')
116.730  001.051  001.051: require('lspconfig.server_configurations.omnisharp')
118.459  000.829  000.829: require('mason-core.notify')
118.466  001.670  000.841: require('mason-lspconfig.ensure_installed')
121.443  000.883  000.883: require('mason-core.result')
124.482  001.144  001.144: require('mason-core.process')
131.608  009.157  008.012: require('mason-core.spawn')
132.514  000.899  000.899: require('mason-core.receipt')
132.535  011.085  001.029: require('mason-core.installer.context')
133.466  000.927  000.927: require('mason-core.installer.linker')
134.342  000.870  000.870: require('mason-core.async.control')
134.351  014.818  001.053: require('mason-core.installer')
135.281  000.926  000.926: require('mason-core.installer.handle')
146.506  007.606  007.606: require('mason-core.managers.powershell')
146.514  008.479  000.873: require('mason-core.fetch')
146.518  009.322  000.843: require('mason-core.managers.cargo.client')
148.449  000.975  000.975: require('mason-core.managers.std')
150.240  000.883  000.883: require('mason-core.providers')
150.253  001.798  000.915: require('mason-core.managers.github.client')
150.260  003.739  000.966: require('mason-core.managers.github')
150.274  014.114  001.053: require('mason-core.managers.cargo')
151.206  000.929  000.929: require('mason-core.managers.composer')
152.201  000.988  000.988: require('mason-core.managers.gem')
153.102  000.895  000.895: require('mason-core.managers.git')
154.016  000.908  000.908: require('mason-core.managers.go')
154.956  000.934  000.934: require('mason-core.managers.luarocks')
155.986  001.023  001.023: require('mason-core.managers.npm')
157.533  001.538  001.538: require('mason-core.managers.pip3')
157.544  022.256  000.927: require('mason-core.package.version-check')
157.556  039.086  001.085: require('mason-core.package')
159.091  001.498  001.498: require('mason-registry.lua-language-server')
160.660  001.356  001.356: require('mason-registry.rust-analyzer')
161.621  000.943  000.943: require('mason-registry.typescript-language-server')
162.571  000.936  000.936: require('mason-registry.json-lsp')
163.510  000.922  000.922: require('mason-registry.omnisharp')
164.472  000.909  000.909: require('mason-registry.eslint-lsp')
165.367  000.876  000.876: require('mason-registry.yaml-language-server')
166.255  000.872  000.872: require('mason-registry.pyright')
168.047  000.863  000.863: require('mason-core.functional.number')
168.084  001.820  000.958: require('mason-lspconfig.api.command')
168.088  101.110  000.705: require('lsp-install-config')
169.180  000.967  000.967: require('lspconfig')
169.303  000.117  000.117: require('lsp-default-keybinds')
170.397  001.087  001.087: require('lspconfig.server_configurations.lua_ls')
174.067  001.044  001.044: require('lspconfig.server_configurations.tsserver')
177.445  001.030  001.030: require('lspconfig.server_configurations.jsonls')
180.826  001.048  001.048: require('lspconfig.server_configurations.pyright')
184.125  001.015  001.015: require('lspconfig.server_configurations.csharp_ls')
198.868  012.219  012.219: require('lspconfig.server_configurations.eslint')
202.243  001.049  001.049: require('lspconfig.server_configurations.yamlls')
205.534  001.039  001.039: require('lspconfig.server_configurations.hls')
206.711  001.091  001.091: require('lspconfig.server_configurations.rust_analyzer')
209.959  000.689  000.689: require('lsp-colors')
211.044  001.058  001.058: require('nvim-lightbulb')
212.130  001.079  001.079: require('nvim-lightbulb.config')
212.199  044.108  019.576: require('lsp-config')
216.488  000.788  000.788: require('luasnip.session')
216.502  001.991  001.203: require('luasnip.util.util')
217.381  000.875  000.875: require('luasnip.session.snippet_collection')
219.262  001.038  001.038: require('luasnip.util._builtin_vars')
219.420  000.150  000.150: require('vim.inspect')
219.469  002.081  000.893: require('luasnip.util.environ')
220.283  000.809  000.809: require('luasnip.util.extend_decorator')
221.888  000.770  000.770: require('luasnip.loaders._caches')
222.759  000.864  000.864: require('luasnip.util.path')
222.782  002.493  000.859: require('luasnip.loaders')
223.757  000.965  000.965: require('luasnip.util.log')
225.418  000.769  000.769: require('luasnip.util.types')
226.245  000.820  000.820: require('luasnip.util.ext_opts')
227.075  000.823  000.823: require('luasnip.extras.filetype_functions')
227.221  003.451  001.039: require('luasnip.config')
227.227  013.940  001.274: require('luasnip')
228.100  000.869  000.869: require('luasnip.loaders.util')
232.548  000.820  000.820: require('luasnip.nodes.util')
233.315  000.760  000.760: require('luasnip.util.events')
233.326  002.485  000.905: require('luasnip.nodes.node')
234.211  000.881  000.881: require('luasnip.nodes.insertNode')
235.024  000.807  000.807: require('luasnip.nodes.textNode')
235.854  000.824  000.824: require('luasnip.util.mark')
236.676  000.816  000.816: require('luasnip.util.pattern_tokenizer')
237.459  000.777  000.777: require('luasnip.util.dict')
237.501  007.812  001.222: require('luasnip.nodes.snippet')
240.138  000.825  000.825: require('luasnip.util.parser.neovim_ast')
240.962  000.817  000.817: require('luasnip.util.str')
245.467  000.820  000.820: require('luasnip.util.directed_graph')
245.477  007.079  004.617: require('luasnip.util.parser.ast_utils')
246.320  000.839  000.839: require('luasnip.nodes.functionNode')
247.261  000.935  000.935: require('luasnip.nodes.choiceNode')
248.170  000.902  000.902: require('luasnip.nodes.dynamicNode')
248.967  000.791  000.791: require('luasnip.util.functions')
248.976  011.470  000.923: require('luasnip.util.parser.ast_parser')
249.891  000.911  000.911: require('luasnip.util.parser.neovim_parser')
249.900  021.029  000.837: require('luasnip.util.parser')
249.905  021.799  000.770: require('luasnip.nodes.snippetProxy')
249.911  037.604  000.996: require('luasnip.loaders.from_vscode')
268.165  055.962  018.358: require('luasnip-config')
271.983  001.243  001.243: require('plenary.bit')
