

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.052  000.052: --- NVIM STARTING ---
000.512  000.460: event init
000.870  000.358: early init
001.176  000.306: locale set
001.939  000.763: init first window
003.284  001.345: inits 1
003.326  000.043: window checked
003.341  000.015: parsing arguments
006.526  000.162  000.162: require('vim.shared')
007.214  000.107  000.107: require('vim._meta')
007.223  000.686  000.578: require('vim._editor')
007.228  000.925  000.077: require('vim._init_packages')
007.234  002.968: init lua interpreter
007.321  000.087: expanding arguments
007.424  000.103: inits 2
008.203  000.779: init highlight
008.209  000.006: waiting for UI
013.213  005.004: done waiting for UI
013.258  000.046: init screen for UI
013.527  000.269: init default mappings
013.556  000.029: init default autocommands
018.376  000.132  000.132: sourcing /usr/share/nvim/runtime/ftplugin.vim
019.355  000.092  000.092: sourcing /usr/share/nvim/runtime/indent.vim
019.969  000.036  000.036: sourcing /usr/share/nvim/archlinux.vim
019.984  000.377  000.342: sourcing /etc/xdg/nvim/sysinit.vim
023.877  003.758  003.758: require('disabled-plugins')
028.881  000.564  000.564: require('notify.util.queue')
028.892  001.561  000.996: require('notify.util')
029.567  000.668  000.668: require('notify.config.highlights')
029.576  003.279  001.051: require('notify.config')
030.361  000.781  000.781: require('notify.stages')
031.201  000.830  000.830: require('notify.service.notification')
033.565  000.614  000.614: require('notify.animate.spring')
033.576  001.163  000.549: require('notify.animate')
033.595  002.385  001.222: require('notify.windows')
035.685  000.780  000.780: require('notify.service.buffer.highlights')
035.701  001.714  000.934: require('notify.service.buffer')
035.707  002.108  000.394: require('notify.service')
036.476  000.765  000.765: require('notify.stages.util')
036.487  012.050  001.902: require('notify')
037.063  000.544  000.544: require('notify.stages.fade_in_slide_out')
037.438  013.553  000.959: require('settings')
039.109  001.308  001.308: require('dashboard')
039.118  001.673  000.364: require('dashboard-config')
042.471  001.044  001.044: require('packer.util')
042.537  003.210  002.166: require('packer')
045.079  000.838  000.838: require('packer.log')
045.092  001.525  000.687: require('packer.async')
046.450  000.547  000.547: require('packer.result')
046.468  001.371  000.824: require('packer.jobs')
046.488  003.890  000.994: require('packer.plugin_utils')
047.324  000.804  000.804: require('packer.snapshot')
048.262  009.140  001.236: require('plugins')
050.487  000.010  000.010: require('vim.F')
050.497  001.917  001.907: require('nvim-web-devicons')
053.677  005.409  003.492: require('web-dev-icons')
056.090  000.913  000.913: require('mason-core.path')
056.116  001.456  000.543: require('mason.settings')
057.590  000.718  000.718: require('mason-core.functional')
058.384  000.483  000.483: require('mason-core.functional.data')
058.398  000.786  000.303: require('mason-core.functional.function')
058.953  000.513  000.513: require('mason-core.functional.relation')
059.494  000.518  000.518: require('mason-core.functional.logic')
059.552  003.428  000.893: require('mason-core.platform')
059.562  005.817  000.933: require('mason')
061.364  000.671  000.671: require('mason-core.functional.list')
061.410  001.810  001.139: require('mason.api.command')
063.043  000.792  000.792: require('mason-core.log')
063.051  001.635  000.843: require('mason-lspconfig')
063.270  000.215  000.215: require('mason-lspconfig.settings')
064.200  000.361  000.361: require('mason-core.notify')
064.223  000.907  000.546: require('mason-lspconfig.lspconfig_hook')
072.072  000.862  000.862: require('vim.lsp.log')
073.887  001.807  001.807: require('vim.lsp.protocol')
077.512  001.027  001.027: require('vim.lsp._snippet')
078.265  000.746  000.746: require('vim.highlight')
078.291  004.398  002.625: require('vim.lsp.util')
078.310  008.944  001.877: require('vim.lsp.handlers')
079.734  001.381  001.381: require('vim.lsp.rpc')
080.554  000.813  000.813: require('vim.lsp.sync')
082.037  001.477  001.477: require('vim.lsp.buf')
082.869  000.826  000.826: require('vim.lsp.diagnostic')
083.728  000.846  000.846: require('vim.lsp.codelens')
083.854  018.012  003.726: require('vim.lsp')
083.946  019.716  001.703: require('lspconfig.util')
085.232  000.523  000.523: require('mason-core.functional.table')
085.346  001.383  000.860: require('mason-lspconfig.mappings.server')
088.453  001.096  001.096: require('mason-core.async')
088.946  000.482  000.482: require('mason-core.async.uv')
088.970  002.334  000.755: require('mason-core.fs')
089.564  000.586  000.586: require('mason-core.optional')
090.186  000.612  000.612: require('mason-core.EventEmitter')
091.053  000.857  000.857: require('mason-registry.index')
091.071  005.716  001.326: require('mason-registry')
091.542  000.465  000.465: require('mason-lspconfig.server_config_extensions')
092.471  000.920  000.920: require('lspconfig.configs')
093.152  000.675  000.675: require('lspconfig.server_configurations.omnisharp')
093.645  000.422  000.422: require('mason-lspconfig.ensure_installed')
096.065  000.587  000.587: require('mason-core.result')
098.558  000.800  000.800: require('mason-core.process')
098.660  001.351  000.551: require('mason-core.spawn')
099.131  000.465  000.465: require('mason-core.receipt')
099.542  000.392  000.392: require('mason-core.functional.string')
099.568  003.496  001.289: require('mason-core.installer.context')
100.115  000.542  000.542: require('mason-core.installer.linker')
100.430  000.309  000.309: require('mason-core.async.control')
100.441  005.788  000.854: require('mason-core.installer')
101.090  000.643  000.643: require('mason-core.installer.handle')
104.363  000.677  000.677: require('mason-core.managers.powershell')
104.370  001.319  000.642: require('mason-core.fetch')
104.375  001.596  000.277: require('mason-core.managers.cargo.client')
106.234  001.011  001.011: require('mason-core.managers.std')
107.240  000.577  000.577: require('mason-core.providers')
107.263  001.023  000.446: require('mason-core.managers.github.client')
107.281  002.902  000.868: require('mason-core.managers.github')
107.474  005.854  001.357: require('mason-core.managers.cargo')
108.627  000.935  000.935: require('mason-core.managers.composer')
109.541  000.907  000.907: require('mason-core.managers.gem')
110.434  000.887  000.887: require('mason-core.managers.git')
111.532  001.092  001.092: require('mason-core.managers.go')
112.776  001.238  001.238: require('mason-core.managers.luarocks')
113.663  000.881  000.881: require('mason-core.managers.npm')
114.607  000.939  000.939: require('mason-core.managers.pip3')
114.621  013.524  000.792: require('mason-core.package.version-check')
114.632  020.977  001.022: require('mason-core.package')
115.819  001.123  001.123: require('mason-registry.lua-language-server')
116.685  000.765  000.765: require('mason-registry.rust-analyzer')
117.396  000.659  000.659: require('mason-registry.typescript-language-server')
118.247  000.823  000.823: require('mason-registry.json-lsp')
119.245  000.932  000.932: require('mason-registry.omnisharp')
120.088  000.795  000.795: require('mason-registry.eslint-lsp')
120.940  000.740  000.740: require('mason-registry.yaml-language-server')
121.823  000.799  000.799: require('mason-registry.haskell-language-server')
122.740  000.821  000.821: require('mason-registry.pyright')
124.459  000.552  000.552: require('mason-core.functional.number')
124.525  001.771  001.220: require('mason-lspconfig.api.command')
124.534  070.851  000.964: require('lsp-install-config')
125.668  000.717  000.717: require('lspconfig')
126.044  000.366  000.366: require('lsp-default-keybinds')
126.659  000.604  000.604: require('lspconfig.server_configurations.sumneko_lua')
128.624  000.545  000.545: require('lspconfig.server_configurations.tsserver')
129.957  000.488  000.488: require('lspconfig.server_configurations.jsonls')
131.278  000.568  000.568: require('lspconfig.server_configurations.pyright')
132.718  000.724  000.724: require('mason-lspconfig.server_configurations.omnisharp')
133.760  000.970  000.970: require('lspconfig.server_configurations.eslint')
135.023  000.565  000.565: require('lspconfig.server_configurations.yamlls')
136.220  000.583  000.583: require('lspconfig.server_configurations.hls')
137.497  000.523  000.523: require('lspconfig.server_configurations.rust_analyzer')
139.076  000.698  000.698: require('lsp-colors')
140.460  001.365  001.365: require('nvim-lightbulb')
140.979  000.503  000.503: require('nvim-lightbulb.config')
141.048  016.508  007.289: require('lsp-config')
146.303  000.540  000.540: require('luasnip.session')
147.558  001.248  001.248: require('luasnip.util.util')
147.756  000.192  000.192: require('luasnip.util.types')
148.606  000.377  000.377: require('luasnip.util.ext_opts')
148.628  000.862  000.486: require('luasnip.nodes.util')
148.942  000.306  000.306: require('luasnip.util.events')
148.977  003.876  000.727: require('luasnip.nodes.node')
150.032  000.373  000.373: require('luasnip.util.extend_decorator')
150.056  001.071  000.698: require('luasnip.nodes.insertNode')
150.464  000.401  000.401: require('luasnip.nodes.textNode')
151.033  000.558  000.558: require('luasnip.util.mark')
152.538  000.993  000.993: require('luasnip.util._builtin_vars')
152.616  000.070  000.070: require('vim.inspect')
152.690  001.648  000.584: require('luasnip.util.environ')
153.101  000.405  000.405: require('luasnip.util.pattern_tokenizer')
153.527  000.416  000.416: require('luasnip.util.dict')
154.140  000.603  000.603: require('luasnip.session.snippet_collection')
154.214  010.748  001.770: require('luasnip.nodes.snippet')
154.959  000.340  000.340: require('luasnip.loaders._caches')
155.531  000.562  000.562: require('luasnip.util.path')
155.593  001.372  000.470: require('luasnip.loaders')
156.236  000.604  000.604: require('luasnip.nodes.functionNode')
156.952  000.709  000.709: require('luasnip.nodes.choiceNode')
157.688  000.730  000.730: require('luasnip.nodes.dynamicNode')
158.252  000.558  000.558: require('luasnip.nodes.restoreNode')
160.148  000.520  000.520: require('luasnip.util.parser.neovim_ast')
162.197  000.318  000.318: require('luasnip.util.directed_graph')
162.215  003.319  002.481: require('luasnip.util.parser.ast_utils')
163.361  000.337  000.337: require('luasnip.util.functions')
163.382  001.160  000.823: require('luasnip.util.parser.ast_parser')
164.362  000.973  000.973: require('luasnip.util.parser.neovim_parser')
164.536  000.167  000.167: require('luasnip.util.str')
164.553  006.293  000.674: require('luasnip.util.parser')
166.915  001.772  001.772: require('luasnip.extras.filetype_functions')
167.250  000.297  000.297: require('luasnip.nodes.absolute_indexer')
167.950  000.690  000.690: require('luasnip.extras')
168.965  001.009  001.009: require('luasnip.extras.fmt')
170.377  000.456  000.456: require('luasnip.extras.conditions')
170.770  000.383  000.383: require('luasnip.extras.conditions.show')
170.930  001.643  000.804: require('luasnip.extras.conditions.expand')
170.939  001.967  000.324: require('luasnip.extras.expand_conditions')
171.363  000.418  000.418: require('luasnip.extras.postfix')
171.832  007.273  001.121: require('luasnip.config')
